SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
162,13,000,33896,00000,00000,0,A,Good Hope city,Georgia,339,342,350
162,13,000,33980,00000,00000,0,A,Gordon city,Georgia,1778,1771,1769
162,13,000,34260,00000,00000,0,A,Graham city,Georgia,265,264,264
162,13,000,34428,00000,00000,0,A,Grantville city,Georgia,3106,3114,3276
162,13,000,34512,00000,00000,0,A,Gray city,Georgia,3409,3408,3407
162,13,000,34596,00000,00000,0,A,Grayson city,Georgia,4706,4698,4679
162,13,000,34876,00000,00000,0,A,Greensboro city,Georgia,3655,3636,3649
162,13,000,35016,00000,00000,0,A,Greenville city,Georgia,795,793,796
162,13,000,35324,00000,00000,0,A,Griffin city,Georgia,23477,23426,23643
162,13,000,35716,00000,00000,0,A,Grovetown city,Georgia,15646,15992,16566
162,13,000,35800,00000,00000,0,A,Gumbranch city,Georgia,241,239,245
162,13,000,35884,00000,00000,0,A,Guyton city,Georgia,2279,2314,2557
162,13,000,36024,00000,00000,0,A,Hagan city,Georgia,963,959,949
162,13,000,36052,00000,00000,0,A,Hahira city,Georgia,3371,3370,3406
162,13,000,36220,00000,00000,0,A,Hamilton city,Georgia,1622,1634,1664
162,13,000,36276,00000,00000,0,A,Hampton city,Georgia,8356,8384,8346
162,13,000,36472,00000,00000,0,A,Hapeville city,Georgia,6565,6567,6538
162,13,000,36528,00000,00000,0,A,Haralson town,Georgia,170,170,171
162,13,000,36696,00000,00000,0,A,Harlem city,Georgia,3579,3619,3866
162,13,000,36920,00000,00000,0,A,Harrison town,Georgia,338,336,330
162,13,000,37144,00000,00000,0,A,Hartwell city,Georgia,4441,4440,4503
162,13,000,37396,00000,00000,0,A,Hawkinsville city,Georgia,3980,3982,3997
162,13,000,37564,00000,00000,0,A,Hazlehurst city,Georgia,4054,4051,4065
162,13,000,37788,00000,00000,0,A,Helen city,Georgia,534,535,545
162,13,000,38040,00000,00000,0,A,Hephzibah city,Georgia,3792,3786,3782
162,13,000,38124,00000,00000,0,A,Hiawassee city,Georgia,1007,1009,1029
162,13,000,38348,00000,00000,0,A,Higgston town,Georgia,315,314,314
162,13,000,38920,00000,00000,0,A,Hiltonia town,Georgia,308,308,310
162,13,000,38964,00000,00000,0,A,Hinesville city,Georgia,35265,35397,35420
162,13,000,39076,00000,00000,0,A,Hiram city,Georgia,4932,4960,5080
162,13,000,39216,00000,00000,0,A,Hoboken city,Georgia,482,482,483
162,13,000,39244,00000,00000,0,A,Hogansville city,Georgia,3247,3238,3209
162,13,000,39524,00000,00000,0,A,Holly Springs city,Georgia,16251,16493,17473
162,13,000,39692,00000,00000,0,A,Homeland city,Georgia,892,894,918
162,13,000,39720,00000,00000,0,A,Homer town,Georgia,1260,1271,1360
162,13,000,39748,00000,00000,0,A,Homerville city,Georgia,2335,2325,2317
162,13,000,40056,00000,00000,0,A,Hoschton city,Georgia,2666,2743,3519
162,13,000,40532,00000,00000,0,A,Hull city,Georgia,232,233,233
162,13,000,40812,00000,00000,0,A,Ideal city,Georgia,398,396,397
162,13,000,40840,00000,00000,0,A,Ila city,Georgia,353,355,363
162,13,000,41344,00000,00000,0,A,Iron City town,Georgia,317,317,319
162,13,000,41400,00000,00000,0,A,Irwinton city,Georgia,542,540,540
162,13,000,41540,00000,00000,0,A,Ivey city,Georgia,1034,1032,1030
162,13,000,41596,00000,00000,0,A,Jackson city,Georgia,5553,5575,5622
162,13,000,41708,00000,00000,0,A,Jacksonville city,Georgia,116,115,115
162,13,000,41792,00000,00000,0,A,Jakin city,Georgia,132,131,128
162,13,000,41932,00000,00000,0,A,Jasper city,Georgia,4090,4103,4235
162,13,000,41988,00000,00000,0,A,Jefferson city,Georgia,13223,13339,13986
162,13,000,42100,00000,00000,0,A,Jeffersonville city,Georgia,956,951,933
162,13,000,42156,00000,00000,0,A,Jenkinsburg city,Georgia,389,390,393
162,13,000,42184,00000,00000,0,A,Jersey city,Georgia,143,143,149
162,13,000,42268,00000,00000,0,A,Jesup city,Georgia,9880,9877,9899
162,13,000,42425,00000,00000,0,A,Johns Creek city,Georgia,82499,82591,82065
162,13,000,42604,00000,00000,0,A,Jonesboro city,Georgia,4399,4393,4510
162,13,000,42800,00000,00000,0,A,Junction City town,Georgia,137,137,138
162,13,000,43192,00000,00000,0,A,Kennesaw city,Georgia,33001,33124,33049
162,13,000,43360,00000,00000,0,A,Keysville city,Georgia,315,315,315
162,13,000,43640,00000,00000,0,A,Kingsland city,Georgia,18437,18517,19075
162,13,000,43668,00000,00000,0,A,Kingston city,Georgia,724,740,745
162,13,000,43892,00000,00000,0,A,Kite city,Georgia,165,165,164
162,13,000,44312,00000,00000,0,A,LaFayette city,Georgia,6875,6914,6968
162,13,000,44340,00000,00000,0,A,LaGrange city,Georgia,30917,30967,31551
162,13,000,44508,00000,00000,0,A,Lake City city,Georgia,3106,3100,3071
162,13,000,44592,00000,00000,0,A,Lakeland city,Georgia,2794,2798,2762
162,13,000,44704,00000,00000,0,A,Lake Park city,Georgia,927,972,1169
162,13,000,45460,00000,00000,0,A,Lavonia city,Georgia,2147,2144,2157
162,13,000,45488,00000,00000,0,A,Lawrenceville city,Georgia,30436,30414,30516
162,13,000,45600,00000,00000,0,A,Leary city,Georgia,550,548,542
162,13,000,45768,00000,00000,0,A,Leesburg city,Georgia,3482,3483,3506
162,13,000,45936,00000,00000,0,A,Lenox town,Georgia,762,761,756
162,13,000,46020,00000,00000,0,A,Leslie city,Georgia,343,342,341
162,13,000,46188,00000,00000,0,A,Lexington city,Georgia,201,201,206
162,13,000,46356,00000,00000,0,A,Lilburn city,Georgia,14495,14540,15168
162,13,000,46384,00000,00000,0,A,Lilly city,Georgia,136,135,131
162,13,000,46552,00000,00000,0,A,Lincolnton city,Georgia,1468,1468,1461
162,13,000,46860,00000,00000,0,A,Lithonia city,Georgia,2665,2657,2621
162,13,000,47140,00000,00000,0,A,Locust Grove city,Georgia,8938,9146,9750
162,13,000,47196,00000,00000,0,A,Loganville city,Georgia,14125,14208,14720
162,13,000,47252,00000,00000,0,A,Lone Oak town,Georgia,111,111,114
162,13,000,47336,00000,00000,0,A,Lookout Mountain city,Georgia,1644,1642,1653
162,13,000,47560,00000,00000,0,A,Louisville city,Georgia,2396,2386,2361
162,13,000,47616,00000,00000,0,A,Lovejoy city,Georgia,10475,10625,11311
162,13,000,47784,00000,00000,0,A,Ludowici city,Georgia,1575,1585,1665
162,13,000,47896,00000,00000,0,A,Lula city,Georgia,2822,2837,2895
162,13,000,47952,00000,00000,0,A,Lumber City city,Georgia,1023,1024,1021
