geographic_area,april_2020_base_estimate,population_2020,population_2021,percent_change
"Baxley, Georgia",5006,5000,5008,0.16
"Trion, Georgia",1966,1960,1963,0.15306122448979592
"Brunswick, Georgia",14618,14608,14629,0.14375684556407448
"Cochran, Georgia",5066,5063,5070,0.13825794983211537
"Varnell, Georgia",2180,2176,2179,0.13786764705882354
"East Dublin, Georgia",2479,2476,2479,0.12116316639741519
"Smyrna, Georgia",55689,55635,55685,0.08987148377819718
"Thomson, Georgia",6885,6867,6873,0.08737439930100481
"Rochelle, Georgia",1170,1165,1166,0.08583690987124463
"Rome, Georgia",37719,37714,37746,0.0848491276449064
"Echols County consolidated government, Georgia",3697,3696,3699,0.08116883116883117
"Sylvania, Georgia",2662,2659,2661,0.07521624670928921
"Hinesville, Georgia",35265,35397,35420,0.0649772579597141
"West Point, Georgia",3753,3746,3748,0.05339028296849973
"Abbeville, Georgia",2666,2661,2662,0.03757985719654265
"Demorest, Georgia",1924,1927,1927,0
"Manchester, Georgia",3571,3563,3563,0
"Oxford, Georgia",2277,2275,2275,0
"Woodbine, Georgia",1068,1068,1068,0
"Dalton, Georgia",34348,34294,34285,-0.02624365778270251
"Tifton, Georgia",17205,17240,17235,-0.029002320185614848
"Gray, Georgia",3409,3408,3407,-0.029342723004694836
"Dublin, Georgia",16164,16131,16121,-0.06199243692269543
"Morgan, Georgia",1578,1577,1576,-0.06341154090044387
"Duluth, Georgia",31908,31892,31864,-0.08779631255487269
"Berkeley Lake, Georgia",2058,2053,2051,-0.0974184120798831
"Quitman, Georgia",4125,4105,4101,-0.097442143727162
"Oglethorpe, Georgia",1014,1008,1007,-0.0992063492063492
"Hephzibah, Georgia",3792,3786,3782,-0.10565240359218173
"Gordon, Georgia",1778,1771,1769,-0.1129305477131564
"Twin City, Georgia",1689,1687,1685,-0.11855364552459988
"Ashburn, Georgia",4241,4224,4218,-0.14204545454545456
"Centerville, Georgia",8232,8256,8243,-0.15746124031007752
"Ocilla, Georgia",3734,3726,3720,-0.1610305958132045
"Swainsboro, Georgia",7462,7450,7438,-0.1610738255033557
"Thomasville, Georgia",18912,18898,18867,-0.16403852259498358
"Wrightsville, Georgia",3322,3315,3309,-0.18099547511312217
"Fitzgerald, Georgia",9020,8994,8977,-0.18901489882143652
"Ivey, Georgia",1034,1032,1030,-0.1937984496124031
"Macon-Bibb County, Georgia",157346,157104,156762,-0.21769019248395965
"Kennesaw, Georgia",33001,33124,33049,-0.22642192971863304
"Sparks, Georgia",2035,2035,2030,-0.2457002457002457
"Palmetto, Georgia",5064,5089,5075,-0.2751031636863824
"College Park, Georgia",13921,13928,13889,-0.28001148765077544
"Lumber City, Georgia",1023,1024,1021,-0.29296875
"Summerville, Georgia",4424,4413,4400,-0.29458418309539997
"Davisboro, Georgia",1868,1866,1860,-0.3215434083601286
"Augusta-Richmond County consolidated government (balance), Georgia",202123,201850,201196,-0.3240029725043349
"Milton, Georgia",41318,41401,41259,-0.3429868843747736
"Homerville, Georgia",2335,2325,2317,-0.34408602150537637
"Milledgeville, Georgia",17256,17228,17165,-0.3656837706059902
"Peachtree Corners, Georgia",42309,42268,42108,-0.3785369546701997
"Bloomingdale, Georgia",2776,2871,2860,-0.38314176245210724
"Nahunta, Georgia",1000,1008,1004,-0.3968253968253968
"Tucker, Georgia",36989,37002,36855,-0.39727582292849034
"Grayson, Georgia",4706,4698,4679,-0.4044274159216688
"Savannah, Georgia",148095,147701,147088,-0.41502765722642365
"Hapeville, Georgia",6565,6567,6538,-0.44160194913963763
"Hampton, Georgia",8356,8384,8346,-0.4532442748091603
"Omega, Georgia",1301,1301,1295,-0.4611837048424289
"Lincolnton, Georgia",1468,1468,1461,-0.4768392370572207
"Roswell, Georgia",92892,92989,92530,-0.4936067706933078
"Vidalia, Georgia",10761,10764,10710,-0.5016722408026756
"McRae-Helena, Georgia",5943,5933,5903,-0.5056463846283499
"Acworth, Georgia",22443,22399,22284,-0.5134157774900666
"Tybee Island, Georgia",3113,3107,3091,-0.5149662053427744
"Garden City, Georgia",10266,10364,10306,-0.5596294866846777
"Chatsworth, Georgia",4845,4833,4804,-0.6000413821642873
"Atlanta, Georgia",498602,499586,496461,-0.6255179288450837
"Albany, Georgia",69832,69486,69048,-0.6303428028667646
"Johns Creek, Georgia",82499,82591,82065,-0.6368732670629972
"Montezuma, Georgia",3115,3096,3076,-0.6459948320413437
"Columbus, Georgia",206922,206960,205617,-0.6489176652493236
"Butler, Georgia",1822,1821,1809,-0.6589785831960462
"Marshallville, Georgia",1067,1060,1053,-0.6603773584905661
"East Point, Georgia",38384,38400,38141,-0.6744791666666666
"Soperton, Georgia",2872,2863,2843,-0.6985679357317499
"Millen, Georgia",2964,2955,2934,-0.7106598984771574
"Thunderbolt, Georgia",2562,2553,2533,-0.7833920877399139
"Alma, Georgia",3433,3424,3397,-0.7885514018691588
"Nashville, Georgia",4917,4908,4869,-0.7946210268948656
"Thomaston, Georgia",9853,9842,9761,-0.823003454582402
"Lyons, Georgia",4244,4247,4211,-0.8476571697668942
"Camilla, Georgia",5114,5091,5046,-0.8839127872716559
"Hogansville, Georgia",3247,3238,3209,-0.8956145768993207
"Moultrie, Georgia",14740,14721,14587,-0.9102642483526935
"Sandy Springs, Georgia",108134,108172,107180,-0.9170580187109417
"Morrow, Georgia",6631,6614,6553,-0.9222860598729966
"Lake City, Georgia",3106,3100,3071,-0.935483870967742
"Waycross, Georgia",13915,13889,13759,-0.9359925120599035
"Riverdale, Georgia",15093,15054,14912,-0.9432708914574199
"Forest Park, Georgia",20048,19993,19798,-0.9753413694793177
"Wadley, Georgia",1643,1638,1622,-0.9768009768009768
"Eastman, Georgia",5660,5653,5595,-1.0260038917388998
"Pelham, Georgia",3468,3452,3416,-1.0428736964078795
"Louisville, Georgia",2396,2386,2361,-1.0477787091366304
"Wrens, Georgia",2212,2204,2180,-1.0889292196007259
"Sylvester, Georgia",5634,5611,5549,-1.1049723756906076
"Stone Mountain, Georgia",6701,6688,6614,-1.1064593301435408
"Americus, Georgia",16214,16172,15989,-1.1315854563442989
"Cordele, Georgia",10214,10160,10044,-1.141732283464567
"Clarkston, Georgia",14745,14710,14538,-1.1692726036709722
"Colquitt, Georgia",1960,1956,1933,-1.1758691206543967
"Claxton, Georgia",2613,2611,2580,-1.1872845653006512
