geographic_area,april_2020_base_estimate,population_2020,population_2021
"Nicholson city, Georgia",1811,1820,1853
"Norcross city, Georgia",17227,17553,17642
"Norman Park city, Georgia",959,960,960
"North High Shoals town, Georgia",553,554,557
"Norwood city, Georgia",205,205,206
"Nunez city, Georgia",133,133,132
"Oak Park town, Georgia",503,502,502
"Oakwood city, Georgia",4818,4853,5373
"Ochlocknee town, Georgia",666,667,670
"Ocilla city, Georgia",3734,3726,3720
"Oconee city, Georgia",192,192,189
"Odum city, Georgia",464,464,469
"Offerman city, Georgia",447,446,453
"Oglethorpe city, Georgia",1014,1008,1007
"Oliver city, Georgia",209,209,211
"Omega city, Georgia",1301,1301,1295
"Orchard Hill town, Georgia",217,220,221
"Oxford city, Georgia",2277,2275,2275
"Palmetto city, Georgia",5064,5089,5075
"Parrott town, Georgia",117,117,114
"Patterson city, Georgia",753,754,762
"Pavo city, Georgia",624,622,623
"Peachtree City city, Georgia",38248,38341,38818
"Peachtree Corners city, Georgia",42309,42268,42108
"Pearson city, Georgia",1827,1829,1847
"Pelham city, Georgia",3468,3452,3416
"Pembroke city, Georgia",2514,2524,2624
"Pendergrass town, Georgia",1691,1702,1740
"Perry city, Georgia",20596,20905,22029
"Pinehurst city, Georgia",306,304,297
"Pine Lake city, Georgia",744,743,733
"Pine Mountain town, Georgia",1220,1227,1254
"Pineview town, Georgia",452,450,449
"Pitts city, Georgia",252,251,250
"Plains city, Georgia",559,558,553
"Plainville city, Georgia",353,353,355
"Pooler city, Georgia",25560,25601,26930
"Portal town, Georgia",642,644,655
"Porterdale city, Georgia",1801,1797,1828
"Port Wentworth city, Georgia",10846,10877,11746
"Poulan city, Georgia",756,753,745
"Powder Springs city, Georgia",16901,16897,17083
"Pulaski town, Georgia",196,196,196
"Quitman city, Georgia",4125,4105,4101
"Ranger town, Georgia",105,105,107
"Ray City city, Georgia",956,959,969
"Rayle town, Georgia",155,154,156
"Rebecca town, Georgia",207,206,205
"Register town, Georgia",159,159,161
"Reidsville city, Georgia",2424,2425,2446
"Remerton city, Georgia",1332,1325,1302
"Rentz city, Georgia",310,309,308
"Resaca town, Georgia",1162,1165,1170
"Rest Haven town, Georgia",45,45,45
"Reynolds city, Georgia",942,941,935
"Rhine town, Georgia",297,295,294
"Riceboro city, Georgia",622,619,629
"Richland city, Georgia",1473,1467,1479
"Richmond Hill city, Georgia",16603,16732,17556
"Riddleville town, Georgia",81,80,79
"Rincon city, Georgia",10903,10982,11016
"Ringgold city, Georgia",3409,3414,3429
"Riverdale city, Georgia",15093,15054,14912
"Roberta city, Georgia",784,781,782
"Rochelle city, Georgia",1170,1165,1166
"Rockmart city, Georgia",4731,4746,4811
"Rocky Ford town, Georgia",164,163,163
"Rome city, Georgia",37719,37714,37746
"Roopville town, Georgia",230,230,232
"Rossville city, Georgia",3975,3973,3984
"Roswell city, Georgia",92892,92989,92530
"Royston city, Georgia",2651,2645,2656
"Rutledge city, Georgia",871,876,875
"St. Marys city, Georgia",18345,18410,18521
"Sale City city, Georgia",349,347,344
"Sandersville city, Georgia",5805,5770,5654
"Sandy Springs city, Georgia",108134,108172,107180
"Santa Claus city, Georgia",205,205,204
"Sardis city, Georgia",993,995,983
"Sasser town, Georgia",288,287,281
"Savannah city, Georgia",148095,147701,147088
"Scotland city, Georgia",184,183,182
"Screven city, Georgia",764,763,770
"Senoia city, Georgia",4993,5005,5245
"Shady Dale town, Georgia",252,252,259
"Sharon city, Georgia",107,106,106
"Sharpsburg town, Georgia",328,327,329
"Shellman city, Georgia",854,848,834
"Shiloh city, Georgia",405,409,415
"Siloam town, Georgia",194,193,196
"Sky Valley city, Georgia",477,477,480
"Smithville city, Georgia",593,594,597
"Smyrna city, Georgia",55689,55635,55685
"Snellville city, Georgia",20508,20521,20753
"Social Circle city, Georgia",4976,4993,5121
"Soperton city, Georgia",2872,2863,2843
"South Fulton city, Georgia",107524,107623,108575
"Sparks town, Georgia",2035,2035,2030
"Sparta city, Georgia",1352,1349,1332
"Springfield city, Georgia",2909,2906,2993
"Stapleton city, Georgia",399,398,395
"Statesboro city, Georgia",33159,33209,33399
"Statham city, Georgia",2806,2834,2857
"Stillmore city, Georgia",439,438,437
"Stockbridge city, Georgia",28944,29010,29163
