STATION,NAME,year,month,day,DAPR,DASF,MDPR,MDSF,PRCP,SN02,SN32,SNOW,SNWD,SX02,SX32,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT14,WT16,WT18
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,02,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
